,c5_id,c119_input,input,corefs
1255,19871003063299I,THE AIRCRAFT RETURNED TO THE AIRPORT DUE TO AN UNLATCHED COWLING. OPERATOR IS TAKING ACTION TO PREVENT RECURRENCE. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁right', '▁engine', '▁did', '▁not', '▁accelerate', '▁normally', '.', '▁ab', 'or', 'ted', '.', '▁found', '▁engine', '▁in', 'let', '▁cover', '▁was', '▁partially', '▁', 'ing', 'e', 'sted', '▁into', '▁air', '▁in', 'let', '.', '</s>']",[]
1256,19870727068289I,PILOT FAILED TO ENSURE THE OIL DIPSTICK WAS PROPERLY INSTALLED. RETURNED WITH OIL LEAKING FROM RIGHT ENGINE.       ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁door', '▁came', '▁open', '▁on', '▁lift', 'off', '.', '▁tried', '▁go', '▁around', ',', '▁lost', '▁power', '▁at', '▁300', '▁', 'f', 't', ',', '▁crashed', '▁and', '▁burned', '▁off', '▁end', '▁of', '▁airport', '.', '</s>']",[]
1257,19871024060409A,REPORTED A DOOR CAME OPEN AFTER TAKEOFF. MADE TIGHT CIRCLE TO LAND ON ANOTHER RUNWAY. HIT A TREE AND CRASHED.      ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'departed', '▁into', '▁im', 'c', '▁with', '▁in', 'o', 'p', '▁generator', '▁and', '▁only', '▁battery', '▁power', '.', '▁battery', '▁went', '▁dead', '.', '▁hit', '▁trees', '▁and', '▁fence', '▁on', '▁as', 'r', '▁approach', '</s>']",[]
1258,19871015063099I,PILOT TOOK OFF WITH THE TOWBAR ATTACHED TO NOSE GEAR. RETURNED WHEN GEAR WOULD NOT RETRACT FULLY.                  ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'unable', '▁to', '▁retract', '▁landing', '▁gear', '▁after', '▁take', 'off', '.', '▁gear', '▁by', '-', 'pass', '▁handle', '▁was', '▁left', '▁in', '▁the', '▁by', '-', 'pass', '▁position', '▁on', '▁take', 'off', '.', '</s>']","[[[8, 9], [13, 13]]]"
1259,19871004058539A,COLLIDED WITH THE TERRAIN AFTER TAKOFF. FOUND CONTROL LOCK WAS IN PLACE AT THE TIME OF THE ACCIDENT. BOLT USED.    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁left', '▁engine', '▁quit', '▁on', '▁climb', 'out', '.', '▁', 'landed', '▁gear', '▁up', '▁off', '▁airport', '.', '▁had', '▁feather', 'e', 'd', '▁wrong', '▁prop', '.', '▁mixture', '▁too', '▁rich', '▁on', '▁left', '▁engine', '</s>']",[]
1260,19871102072099I,SOLO STUDENT LOST DIRECTIONAL CONTROL DURING ATTEMPTED TAKEOFF WITH FULL FLAPS.NOSE GEAR COLLAPSED OFF RUNWAY SIDE.,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁pilot', '▁report', '▁seat', '▁', 's', 'lid', '▁back', '▁on', '▁take', 'off', '▁roll', '.', '▁', 'unable', '▁reach', '▁controls', '▁ran', '▁off', '▁end', '▁runway', '.', '▁no', '▁defects', '▁in', '▁seat', '▁latch', '.', '</s>']",[]
1261,19870913051689A,"ENGINE QUIT ON CLIMBOUT.HIT A DITCH WHILE LANDING IN FIELD. WATER, DIRT IN FUEL NOZZLES. HAD SET 11 MONTHS INACTIVE","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁restart', 'e', 'd', '▁movement', '▁of', '▁control', '▁wheel', '▁on', '▁take', 'off', '.', '▁ab', 'or', 'ted', '.', '▁', 've', 'ered', '▁off', '▁runway', '.', '▁folded', '▁seat', '▁back', '▁restricted', '▁wheel', '.', '</s>']",[]
1262,19870910061919I,TAILWHEEL WAS NOT LOCKED FOR LANDING. AIRCRAFT GROUND LOOPED. PILOT WAS UNFAMILIAR WITH LOCKING PROCEDURE.         ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'landed', '▁gear', '▁up', '.', '▁ab', 'or', 'ted', '▁take', 'off', '▁after', '▁lift', 'off', '▁with', '▁gear', '▁up', '.', '▁due', '▁to', '▁right', '▁engine', '▁cow', 'ling', '▁not', '▁being', '▁secured', '.', '</s>']",[]
1263,19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁tax', 'ied', '▁without', '▁', 'removing', '▁to', 'w', '▁bar', '▁in', '▁nose', '▁gear', '.', '▁prop', '▁hit', '▁to', 'w', '▁bar', '▁and', '▁', 'hur', 'led', '▁it', '▁into', '▁left', '▁', 'wing', '.', '</s>']",[]
1264,19871011071849I,ABORTED TAKEOFF WHEN THE DOOR CAME OPEN. PILOT MISJUDGED THE DISTANCE TO THE RUNWAY END. RAN OFF THE END.          ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'gu', 's', '▁lock', '▁string', '▁wrapped', '▁around', '▁control', '▁stick', '▁in', '▁flight', '.', '▁', 'wing', '▁hit', '▁ground', '▁as', '▁pilot', '▁tried', '▁free', '▁control', '.', '▁cart', 'wheel', 'e', 'd', '.', '</s>']","[[[13, 15], [19, 20]]]"
1265,19880113000529A,TRIED TO TAKE OFF FROM SHIPS HELIPAD WITH A UNDETECTED REAR TIEDOWN STRAP STILL FASTENED. ROLLED OVER AND BURNED.  ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁lost', '▁power', '▁right', '▁engine', '.', '▁feather', 'e', 'd', '▁but', '▁', 'unable', '▁maintain', '▁flight', '.', '▁landing', '▁on', '▁highway', '▁hit', '▁', 'a', '▁truck', '.', '▁air', '▁filter', '▁was', '▁blocked', '.', '</s>']",[]
1266,19871119066679A,LIFTED TO HOVER UNAWARE HIDDEN TIE DOWN CHAINS STILL ATTACHED. ROLLED OVER AND CRASHED. TIE DOWNS WERE IMPROPER.   ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁early', '▁lift', '▁off', '▁with', '▁30', '▁degrees', '▁flap', 's', '.', '▁', 'stayed', '▁behind', '▁power', '▁curve', ',', '▁', 'stal', 'led', '▁', 'avoiding', '▁rising', '▁terrain', '.', '▁at', '▁gross', '▁weight', '.', '</s>']",[]
1267,19871118082759I,THE TAKEOFF WAS ABORTED WHEN THE PILOT HEARD A BANG. CREW ENTRANCE LADDER HAD COME LOOSE AND HIT THE DECK.         ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁failed', '▁to', '▁un', 'fast', 'en', '▁', 'a', '▁strap', '▁holding', '▁', 'a', '▁ski', 'd', '▁on', '▁trailer', '.', '▁helicopter', '▁fell', '▁over', '▁on', '▁its', '▁side', '▁during', '▁attempted', '▁lift', 'off', '.', '</s>']",[]
1268,19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁lost', '▁power', ',', '▁struck', '▁wire', 's', '▁landing', '▁in', '▁school', '▁yard', '.', '▁fuel', '▁select', 'or', '▁empty', '▁tank', '.', '▁boost', '▁on', '.', '▁spark', '▁plug', 's', '▁so', 'o', 'ted', '.', '</s>']",[]
1269,19871119073859I,LOST DIRECTIONAL CONTROL ON ROLLOUT DUE TO AN INOPERATIVE LEFT BRAKE. FOUND HYDRAULIC FLUID ON LEFT MAIN GEAR.     ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁on', '▁lift', '▁off', '▁aircraft', '▁made', '▁tight', '▁left', '▁turn', '.', '▁', 'impacted', '▁between', '▁runway', 's', '.', '▁auto', 'pilot', '▁on', '.', '▁', 'c', 'f', 'i', '▁unfamiliar', '▁with', '▁disconnect', '.', '</s>']",[]
1270,19880221033719A,ENGINE QUIT ON TAKEOFF. CRASH LANDED OFF END OF RUNWAY. PILOT ACCIDENTALLY HIT KILLSWITCH PLACED CLOSE TO THE YOKE.,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁door', '▁', 'popped', '▁open', '▁on', '▁climb', 'out', '.', '▁turned', '▁fuel', '▁pump', '▁in', '▁error', '.', '▁', 'flooded', '▁engine', '▁quit', '.', '▁', 'landed', '▁gear', '▁up', '▁short', '▁of', '▁runway', '.', '</s>']",[]
1271,19880313034389I,UNABLE RETRACT NOSE GEAR ON CLIMBOUT. RETURNED. GROUND CREW HAD INSTALLED EXTRA NON STANDARD GEAR PIN. OVERLOOKED. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁took', '▁experimental', '▁', 't', '66', '▁out', '▁of', '▁long', '▁storage', '.', '▁engine', '▁quit', '▁on', '▁first', '▁flight', '.', '▁found', '▁fuel', '▁filter', '▁', 'c', 'logged', '▁by', '▁pre', 'serv', 'ative', '.', '</s>']",[]
1272,19880120019019I,TAXIING AT HIGH STEEP PILOT VEERED OFF TAXIWAY INTO THE GRASS. BECAME STUCK IN THE MUD. BLAMED SEAT SLIPPED BACK.  ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁captain', '▁declared', '▁emergency', '▁for', '▁rapid', '▁fuel', '▁loss', '.', '▁vector', 'e', 'd', '▁to', '▁nearest', '▁airport', '.', '▁', 'departed', '▁', 't', 'allah', 'asse', 'e', '▁without', '▁', 're', 'fuel', 'ing', '</s>']",[]
1273,19880216002609A,TAIL ROTOR ASSEMBLY BROKE OFF IN FLIGHT WHEN IT WAS STRUCK BY A HELMET FLIGHT BAG BLOWN OUT OF COCKPIT.            ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁engine', '▁quit', '▁on', '▁practice', '▁go', '▁around', '.', '▁fuel', '▁select', 'or', '▁between', '▁', 'i', 'd', 'net', 's', '.', '▁student', '▁caused', '▁', 'stall', '.', '▁possibly', '▁', 'leaned', '▁by', '▁mistake', '</s>']","[[[0, 2], [8, 8]]]"
1274,19871224078969I,ELECTRICAL POWER LOSS. MAGS NOT ON.TOWER CHECKED GEAR WAS UP. LANDED GEAR UP. EMERGENCY EXTENSION OPERATED NORMAL. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁pre', 'f', 'lighted', '▁helicopter', '▁on', '▁flat', 'bed', '.', '▁un', 't', 'ied', '▁one', '▁ski', 'd', '.', '▁', 'rolled', '▁over', '.', '▁trying', '▁lift', '.', '▁other', '▁ski', 'd', '▁tied', '.', '</s>']",[]
1275,19871108072409I,THE GEAR RETRACTED AFTER LANDING. GEAR LIGHT OUT OF ADJUSTMENT. PILOT FAILED TO ENSURE HANDLE WAS POSITIVELY LOCKED,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁engine', '▁quit', '▁', 'en', '▁route', '.', '▁fuel', '▁use', '▁higher', '▁than', '▁normal', '▁possibly', '▁due', '▁to', '▁fuel', '▁cap', '▁vent', '▁placed', '▁back', 'ward', 's', '.', '▁si', 'phone', 'd', '▁fuel', '.', '</s>']",[]
1276,19880303054509I,INDICATES PILOT DID NOT TURN ON ENGINE ANTI ICE PRIOR TO ICING. LOST BOTH ENGINES. WAS ABLE TO RESTART AND RETURN. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 've', 'ered', '▁off', '▁runway', '▁and', '▁over', 'turned', '▁on', '▁take', 'off', '▁roll', '.', '▁test', '▁flight', '▁after', '▁rebuild', '.', '▁', 'a', 'ile', 'rons', '▁cables', '▁were', '▁reverse', 'd', '.', '</s>']",[]
1277,19871229075529I,LOSS OF OIL QUANTITY NR3 ENGINE EN ROUTE DUE TO OIL CAP LOOSE. SHUT DOWN ENGINE. LANDED OK. NO ENGINE DAMAGE.      ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁heard', '▁noise', '▁on', '▁right', '▁side', '▁of', '▁aircraft', '▁on', '▁take', 'off', '.', '▁ab', 'or', 'ted', '.', '▁over', 'shot', '▁end', '▁of', '▁runway', '.', '▁found', '▁keys', '▁in', '▁door', '▁lock', '.', '</s>']","[[[4, 5], [16, 16]]]"
1278,19871112077979I,NUMBER 2 ENGINE LEFT CORE COWL SEPARATED ON TAKEOFF DUE TO IMPROPER INSTALLATION. CREATED RUNWAY HAZARD.           ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁reported', '▁por', 'p', 'o', 'ising', '▁auto', 'pilot', '.', '▁', 'departed', '▁with', '▁intention', '▁adjust', '▁in', '▁air', '.', '▁lost', '▁both', '▁wings', '▁outside', '▁engines', '.', '▁over', 's', 'tress', 'e', 'd', '</s>']",[]
1279,19880203043929I,RIGHT ENGINE COWLING LOOSE. DIVERTED TO PORTLAND.SECURED COWLING LOCKS AND DEPARTED.                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁reported', '▁jam', 'med', '▁', 'y', 'ok', 'e', '▁on', '▁take', 'off', '▁roll', '.', '▁', 'unable', '▁stop', '▁skippe', 'd', '▁across', '▁lake', '▁to', '▁impact', '▁shore', '.', '▁possible', '▁control', '▁lock', '.', '</s>']",[]
1280,19880209002149A,APPEARS LEFT TANK RAN DRY. UNFASTENED BELT TO TURN VALVE TO FULL TANK.  SELECTOR JAMMED. LOST CONTROL OF AIRCRAFT. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'l', 'acked', '▁acceleration', '▁on', '▁take', 'off', '.', '▁failed', '▁to', '▁ab', 'or', 't', '.', '▁over', 'ran', '▁runway', '.', '▁parking', '▁brake', '▁on', '▁but', '▁warning', '▁light', '▁in', 'operative', '.', '</s>']",[]
1281,19871226077959I,FALSE ENGINE FIRE WARNING DUE TO WATER ON MONITOR CONNECTORS. WATER ENTERED UNDER LOOSE UPPER COWL.CRACKED COWL RIB,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁during', '▁take', 'off', '▁door', '▁came', '▁open', '.', '▁tried', '▁to', '▁close', '▁same', '▁in', 'f', 'light', '.', '▁', 'impacted', '▁steep', '▁turn', '.', '▁fly', '▁first', '▁close', '▁door', '▁on', '▁ground', '.', '</s>']",[]
1282,19871204077839I,LOST OVERHEAD EMERGENCY DOOR ON TAKEOFF ROLL. DID NOT CHECK IT FOR SECURITY.                                       ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁lost', '▁power', '▁left', '▁engine', '.', '▁feather', 'e', 'd', '▁but', '▁', 'unable', '▁hold', '▁al', 'titude', '▁due', '▁', 's', 'agging', '▁landing', '▁gear', '.', '▁water', '▁debris', '▁in', '▁fuel', '▁system', '.', '</s>']","[[[1, 3], [11, 11]]]"
1283,19871124073879I,PILOT ISSUED RADAR SURVEILLANCE APPROACH AFTER TWO ATTEMPTS. ILS SYSTEM HAD FLUCTUATING NEEDLES AND INOPERATIVE.   ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'en', '▁route', '▁to', '▁obtain', '▁dual', '.', '▁lost', '▁power', '.', '▁lost', '▁control', '.', '▁fuel', '▁contamination', '.', '▁never', '▁sum', 'ped', '▁drain', 's', '.', '▁had', '▁prior', '▁rough', '▁engine', '.', '</s>']",[]
1284,19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁nose', '▁baggage', '▁door', '▁opened', '▁on', '▁lift', 'off', '▁and', '▁gear', '▁', 're', 'traction', '.', '▁ab', 'or', 'ted', '▁and', '▁', 'landed', '▁on', '▁same', '▁runway', '▁before', '▁gear', '▁was', '▁down', '.', '</s>']","[[[3, 4], [12, 13]]]"
1285,19880314026319A,HIT POWERLINES ON A PRECAUTIONARY LANDING. FUEL BOOST WARNING LIGHT ON. IMPACTED GROUND. GENERATOR SWITCH WAS OFF. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁engine', '▁quit', '▁on', '▁climb', 'out', '.', '▁hit', '▁trees', '▁on', '▁forced', '▁landing', '.', '▁no', '▁oil', '▁in', '▁engine', '.', '▁large', '▁oil', '▁spot', '▁park', '▁area', '.', '▁oil', '▁filter', '▁le', 'aked', '</s>']",[]
1286,19880120000999A,PICKED UP TO A HOVER WHEN HELICOPTER PITCHED UP. LOST CONTROL AND CRASHED. ICED CONTROL SERVOS. AD NOT COMPLIED.   ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁warned', '▁fuel', '▁leak', '▁left', '▁', 'wing', '.', '▁ignored', '.', '▁back', 'fire', '▁on', '▁engine', '▁start', '.', '▁left', '▁', 'wing', '▁', 'exploded', '.', '▁ground', '▁crew', '▁over', 'filled', '▁tank', '.', '</s>']",[]
1287,19880129071209I,BOTH ENGINES FLAMED OUT ON TOUCHDOWN. HAD ENTERED ICING CONDITIONS ON APPROACH WITHOUT ENGINE INTAKE HEAT ON.      ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁lost', '▁power', '▁in', '▁cruise', '▁flight', '.', '▁', 'impacted', '▁in', '▁', 'a', '▁crop', '▁field', '▁on', '▁forced', '▁landing', '.', '▁mixture', '▁pulled', '▁instead', '▁carb', 'uer', 'e', 't', 'or', '▁heat', '.', '</s>']",[]
1288,19880311014089I,LEFT ENGINE FLAME OUT. RETURNED TO AIRPORT. FOUND OIL FILL DIPSTICK PROTRUDING FROM FILLER NECK. ENGINE OUT OF OIL.,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁on', '▁take', 'off', '▁from', '▁offshore', '▁platform', '▁began', '▁to', '▁spin', '▁un', 'control', 'lab', 'y', '.', '▁', 'impacted', '▁', 'gul', 'f', '.', '▁left', '▁front', '▁tie', 'down', '▁not', '▁removed', '.', '</s>']",[]
1289,19871117077809I,LOUD BANG AT ENGINE START AFTER MAINTENANCE. FOUND NR3 TAIL ROTOR DRIVE SHAFT COUPLING BOLTS WERE LOOSE.           ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁lost', '▁oil', '▁pressure', '.', '▁engine', '▁failed', '.', '▁nose', 'd', '▁over', '▁on', '▁forced', '▁landing', '.', '▁dip', 'stick', '▁', 'laying', '▁loose', '.', '▁lost', '▁oil', '▁through', '▁oil', '▁fill', 'er', '.', '</s>']",[]
1290,19880108041599I,DUAL ALTERNATOR FAILURE. FAILED TO RESET CIRCUIT BREAKERS OR CHECK GEAR DOWN. PUT ON DEICE. SURGE POPPED BREAKERS. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'unable', '▁extend', '▁gear', '▁for', '▁landing', '.', '▁', 'landed', '▁gear', '▁up', '.', '▁gear', '▁and', '▁fuse', '▁gag', 'e', '▁damaged', '▁by', '▁over', 's', 'tress', '▁such', '▁as', '▁extended', '▁over', 'speed', '</s>']",[]
1291,19880102003579I,RETURNED TO AIRPORT WITH ROUGH ENGINE. USED CHECK LIST. FOUND PRIMER UNLOCKED. SECURED PRIMER. ENGINE NORMAL.      ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁lost', '▁power', '▁', 'en', '▁route', '.', '▁', 'landed', '▁on', '▁private', '▁strip', '.', '▁nose', 'd', '▁over', '.', '▁left', '▁fuel', '▁cap', '▁le', 'aked', '.', '▁prevented', '▁gravity', '▁fuel', '▁flow', '.', '</s>']","[[[4, 5], [18, 18]], [[12, 12], [16, 16]]]"
1292,19871212080219I,CRASH LANDED ON AIRPORT. ACCIDENT CAUSED FROM A HOLE IN RUNWAY.                                                    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁left', '▁engine', '▁then', '▁right', '▁engine', '▁shut', '▁don', '▁on', '▁take', 'off', '.', '▁ab', 'or', 'ted', ',', '▁found', '▁in', 'ce', '▁and', '▁water', '▁in', '▁in', 'lets', '▁of', '▁both', '▁engines', '.', '</s>']",[]
1293,19880213002489A,LOST DIRECTIONAL CONTROL ON TAKEOFF. VEERED OFF THE RUNWAY. STUDENT USED NOSEWHEEL STEERING. CFI FAILED TO ADVISE. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'departed', ',', '▁', 'climbed', '▁to', '▁', '7000', 'f', 't', '.', '▁lost', '▁power', '.', '▁', 'landed', '▁hill', 'y', '▁terrain', '.', '▁', 'rust', '▁and', '▁water', '▁in', '▁fuel', '.', '</s>']",[]
1294,19871205069159A,"LOST OIL PRESSURE ON TAKEOFF. TRIED LANDING DOWNWIND NO FLAPS. TOO HIGH,STALLED CLIMBOUT. OIL DIPSTICK NOT SECURED.","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁air', 'man', '/', 'air', '▁agency', '▁competence', ':', '▁prior', '▁to', '▁departure', '▁of', '▁flight', '▁3', '81', ',', '▁from', '▁new', 'ard', ',', '▁new', '▁jersey', ',', '▁the', '▁aircraft', '▁wa', '</s>']",[]
1295,19880104000179A,LOST CONTROL ON CLIMB-OUT AND IMPACTED NEAR VERTICAL.INDICATES PILOT FAILED TO TURN ON GYRO HORIZON PRIOR DEPARTURE,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁heard', '▁loud', '▁ban', 'g', '▁', 'en', 'route', '▁diver', 'ted', '▁to', '▁pit', 't', 'sburg', 'h', '.', '▁cargo', '▁doors', '▁separated', '.', '▁indicates', '▁door', '▁not', '▁secured', '▁prior', '▁to', '▁flight', '.', '</s>']",[]
1296,19880221003319A,PARTIAL POWER LOSS ON CLIMBOUT. DITCHED IN A CREEK. FOUND WATER IN FUEL.                                           ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁lost', '▁power', '▁tried', '▁for', '▁open', '▁field', '.', '▁struck', '▁trees', '.', '▁water', '▁and', '▁', 'ice', '▁in', '▁fuel', '▁system', '.', '▁prior', '▁problem', '.', '▁mag', '▁switch', '▁on', '▁one', '▁mag', '.', '</s>']",[]
1297,19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁failed', '▁to', '▁separate', '▁ground', '▁do', 'lly', '.', '▁on', '▁lift', 'off', '▁realized', '▁do', 'lly', '▁still', '▁attached', '.', '▁ab', 'or', 'ted', '.', '▁', 'rolled', '.', '▁chopped', '▁tail', '▁and', '▁burned', '</s>']",[]
1298,19880131057869I,"DURING PREFLIGHT,LEFT AILERON LOCK DANGLING BY BUNGEE CORD FROM WING. FLEW TO KENT COUNTY RUNWAY WITH LOCK DANGLING","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁on', '▁take', 'off', '▁planned', '▁180', '▁pi', 've', 't', '▁prior', '▁hover', 'ing', '.', '▁during', '▁pivot', '▁rotate', 'd', '▁70', '▁degrees', '▁left', '.', '▁pitched', '▁up', '.', '▁tie', 'down', '▁attached', '.', '</s>']","[[[3, 5], [19, 19]]]"
1299,19880304005859A,BOTH ENGINES QUIT ON CLIMBOUT. CRASH LANDED IN TREES. FUEL SELECTORS ON INBOARD EMPTY TANKS. OUTBOARD TANKS FULL.  ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁failed', '▁to', '▁secure', '.', '▁canopy', '▁opened', '▁on', '▁lift', 'off', '.', '▁pitched', '▁up', '.', '▁pulled', '▁canopy', '▁down', '.', '▁lost', '▁control', '.', '▁hit', '▁ground', '.', '▁', 'flipped', '▁over', '.', '</s>']",[]
1300,19880624064609A,ABORTED TAKEOFF WHEN UNABLE TO ROTATE. RAN OFF END OF RUNWAY. NOSED OVER IN DITCH. FAILED TO RESET NOSE DOWN TRIM. ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁during', '▁fuel', 'ing', '▁helicopter', '.', '▁', 'walked', '▁away', '.', '▁failed', '▁remove', '▁', 'hose', '.', '▁then', '▁tried', '▁take', '▁off', '▁', 'hose', '▁attached', '.', '▁hit', '▁', 'parked', '▁pickup', '.', '</s>']",[]
1301,19880607045909I,BOTTOM HALF OF AIRSTAIR DOOR OPENED IN FLIGHT. DIVERTED TO NEAREST AIRPORT. NO DETAILS GIVEN IN REPORT.            ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁student', '▁pilot', '▁on', '▁her', '▁first', '▁cross', '▁country', '▁solo', '.', '▁received', '▁weather', '▁brief', 'ing', ',', '▁filed', '▁', 'a', '▁', 'v', 'f', 'r', '▁plan', ',', '▁then', '▁departe', '</s>']",[]
1302,19880324019949I,ICING PROBLEM. ENGINE QUIT AT CRUISE. RESTARTED. ONLY RAN AT IDLE. LANDED ON DIRT ROAD. WAS USING RAM AIR.         ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁on', '▁take', 'off', '▁roll', '▁no', '▁lift', 'off', '▁until', '▁off', '▁end', '▁runway', '.', '▁over', '▁auto', '▁into', '▁trees', '.', '▁', 'exploded', '.', '▁found', '▁control', '▁lock', '▁still', '▁in', '▁place', '.', '</s>']",[]
1303,19880623040369I,"ENGINE OVERHEATED ON CLIMBOUT. LANDED ON A HIGHWAY. HAD FORGOT TO REMOVE COWL COVERS.TOOK OFF, RETURNED TO AIRPORT.","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'landed', '▁on', '▁snow', '▁covered', '▁frozen', '▁lake', '.', '▁tax', 'ied', '▁back', '▁and', '▁forth', '▁to', '▁compact', '▁snow', '.', '▁on', '▁take', 'off', '▁elevator', '▁frozen', '.', '▁nose', 'd', '▁in', '.', '</s>']",[]
1304,19880426011719A,ENGINE QUIT. NOSED OVER LANDING IN A SOFT FIELD. FOUND WATER IN THE FUEL.                                          ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁nose', '▁gear', '▁failed', '▁to', '▁retract', '▁after', '▁take', '▁off', '.', '▁aircraft', '▁made', '▁', 'a', '▁go', '-', 'around', '▁and', '▁', 'landed', '.', '▁crew', '▁discovered', '▁nose', '▁', 'p', '</s>']",[]
